country,scope_label,kind,item_it,month,state
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,lamponi,aprile,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,lamponi,maggio,listed_in_season
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,lamponi,giugno,listed_in_season
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,lamponi,luglio,listed_in_season
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,lamponi,agosto,listed_in_season
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,lamponi,settembre,listed_in_season
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,lamponi,ottobre,listed_in_season
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,lamponi,novembre,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,lamponi,dicembre,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,limoni,gennaio,listed_in_season
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,limoni,febbraio,listed_in_season
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,limoni,marzo,listed_in_season
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,limoni,aprile,listed_in_season
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,limoni,maggio,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,limoni,giugno,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,limoni,luglio,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,limoni,agosto,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,limoni,settembre,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,limoni,ottobre,listed_in_season
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,limoni,novembre,listed_in_season
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,limoni,dicembre,listed_in_season
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,mandarini,gennaio,listed_in_season
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,mandarini,febbraio,listed_in_season
